system:index,aerosol_media_mensal,co_media_mensal,date,ndvi,precipitacao_total_mes,system:time_start,temp_media_mes,.geo
11,-1.0496762118685699,0.026024932223684752,2018-12-01,0.5642137116229148,1070.1517727533974,1543622400000,24.067437322989175,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-1.152953997985448,0.02472434377794118,2019-01-01,0.48404464291142063,44.56534558931986,1546300800000,25.24761562733305,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-1.156451657671745,0.025864915808775545,2019-02-01,0.3855149158396499,648.2224964244692,1548979200000,26.17700744936836,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-1.1732826253071762,0.025492336312011997,2019-03-01,0.4484462118110925,1017.3019810760724,1551398400000,25.507884894885006,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-1.2096357926570394,0.024791560431693043,2019-04-01,0.45364116885880584,363.5317285365918,1554076800000,24.418377092335003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-1.248138466631891,0.024905877117316802,2019-05-01,0.44013936652677144,567.7833300281973,1556668800000,23.21095366250639,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-1.2822741617270201,0.02274352955538654,2019-06-01,0.3317356326493178,52.462164249731345,1559347200000,21.29219730593687,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-1.2552461586781656,0.02379331351351207,2019-07-01,0.32275257772553945,80.37634691070107,1561939200000,20.188339736120994,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-1.1004874384083478,0.026232749763012476,2019-08-01,0.3730836472905579,131.8608263389737,1564617600000,20.620939446801287,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-1.175467163359525,0.03497042375210719,2019-09-01,0.23862656963141374,67.36181840055129,1567296000000,22.343735284803522,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-1.245927846375143,0.03539529936103693,2019-10-01,0.2575778754058178,469.83259227790086,1569888000000,23.42910626394357,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-1.1069489388973532,0.03319930027637882,2019-11-01,0.2752699876283388,1465.3398425731007,1572566400000,23.755046525673443,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-1.0828138738949444,0.02658940867373301,2019-12-01,0.4883681513892405,745.5405315922754,1575158400000,23.76936562867191,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-1.244432870216099,0.028528029208038333,2020-01-01,0.5803031850694825,1330.2149250741102,1577836800000,24.337459124594975,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-1.415042621576224,0.027647975257516055,2020-02-01,0.5597189464200663,607.4029329412124,1580515200000,24.669089213208995,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-1.471423585351334,0.025701558138225694,2020-03-01,0.646368698721706,751.2306841466941,1583020800000,23.068436959747952,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-1.41376654337499,0.02796151558124445,2020-04-01,0.6644227125099992,158.16111089388525,1585699200000,22.587123457974474,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-1.4136391242541926,0.02406562106621125,2020-05-01,0.582236452154139,97.0084275376563,1588291200000,20.53520962285544,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-1.6149620424493012,0.02533210811063775,2020-06-01,0.574124314270292,108.99483233210496,1590969600000,20.78113206458647,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-1.5797837058221074,0.0255310724794449,2020-07-01,0.5690807896264813,133.5041408141454,1593561600000,20.571522168641525,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,-1.4138558987807448,0.025969055525505623,2020-08-01,0.4315316560568258,220.06407836652272,1596240000000,20.53675593916445,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,-1.541155638111447,0.03571065540555827,2020-09-01,0.3000793088617315,115.12394972595514,1598918400000,23.253984614212584,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-1.225361019806057,0.0437702483127251,2020-10-01,0.37416944981376565,1073.4945174462657,1601510400000,23.69336036221681,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-1.5296511118303113,0.029527593427301154,2020-11-01,0.526965421564385,629.124793329426,1604188800000,23.03580140761169,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-1.3693302871648485,0.027479153840564565,2020-12-01,0.4885813653143623,426.47684890896664,1606780800000,24.06791299867525,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-1.5874512459050387,0.024745156959134217,2021-01-01,0.4262724474983884,223.72142338846245,1609459200000,24.104142960205326,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-1.666811781534934,0.024234293599417197,2021-02-01,0.40777716389572055,1023.4208214853325,1612137600000,23.75536946224074,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-1.8586385353541255,0.026557372679681383,2021-03-01,0.588818029926732,787.539029246218,1614556800000,23.958165721348347,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-1.7484041535269201,0.02264760035383504,2021-04-01,0.5328077830778227,236.92291435260395,1617235200000,22.344393652699516,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-1.8038393104927823,0.023264722261490414,2021-05-01,0.5508610502042034,53.56343453818676,1619827200000,21.58320999243818,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-1.9107837987405627,0.02456793122694122,2021-06-01,0.37235192534825207,85.42275079418631,1622505600000,20.455120922964564,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,-0.47001166195779415,0.022362541368256817,2021-07-01,0.387967849151726,43.05806994344673,1625097600000,19.53689614834754,"{""type"":""MultiPoint"",""coordinates"":[]}"
